Protocol,Local,Remote,PacketsIN,PacketsOUT,BytesIN,BytesOUT,TsStart,TsCurrent
TCP,192.168.2.1:5201,192.168.2.2:52474,573,371,7849623,24818,79816769985280,79818481873103
TCP,192.168.2.1:5201,192.168.2.2:52498,643,379,9723679,25238,79816777889168,79818487417843
TCP,192.168.2.1:5201,192.168.2.2:52512,577,366,9481011,24448,79816835824148,79818521853488
TCP,192.168.2.1:5201,192.168.2.2:52510,612,396,12115285,26336,79816832110719,79818433137620
TCP,192.168.2.1:5201,192.168.2.2:52506,643,352,8874239,23420,79816828452578,79818458728796
TCP,192.168.2.1:5201,192.168.2.2:52502,597,364,9766483,24212,79816824693817,79818465809976
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,669,470,13288279,31136,79816766542884,79818530897940
TCP,192.168.2.1:5201,192.168.2.2:52484,653,393,8192999,26114,79816773435564,79818450916883
TCP,192.168.2.1:5201,192.168.2.2:52460,2248,1568,41074825,104028,79816766542884,79823597124956
TCP,192.168.2.1:5201,192.168.2.2:52484,2098,1311,28547469,87146,79816824693817,79823462350095
TCP,192.168.2.1:5201,192.168.2.2:52506,2116,1249,27481057,83138,79816828452578,79823480732390
TCP,192.168.2.1:5201,192.168.2.2:52502,2016,1246,26214729,83060,79816824693817,79823499054421
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52510,2028,1277,35345653,84890,79816832110719,79823449835194
TCP,192.168.2.1:5201,192.168.2.2:52474,2122,1477,36025741,98042,79816769985280,79823508820097
TCP,192.168.2.1:5201,192.168.2.2:52498,2072,1241,25013305,82830,79816777889168,79823538513416
TCP,192.168.2.1:5201,192.168.2.2:52512,1950,1245,33063325,82714,79816835824148,79823548833257
TCP,192.168.2.1:5201,192.168.2.2:52510,3222,1937,51531417,128858,79816832110719,79828448748255
TCP,192.168.2.1:5201,192.168.2.2:52474,3348,2215,52774133,147242,79816769985280,79828493257272
TCP,192.168.2.1:5201,192.168.2.2:52498,3306,1951,42143033,129990,79816777889168,79828498786135
TCP,192.168.2.1:5201,192.168.2.2:52512,3153,1892,47482343,125944,79816835824148,79828525855393
TCP,192.168.2.1:5201,192.168.2.2:52484,3368,2048,44794717,136292,79816824693817,79828457014237
TCP,192.168.2.1:5201,192.168.2.2:52506,3412,1925,45842041,128114,79816828452578,79828462340437
TCP,192.168.2.1:5201,192.168.2.2:52502,3263,1976,46319719,131540,79816824693817,79828485315095
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,3523,2403,64304799,159486,79816766542884,79828567685413
TCP,192.168.2.1:5201,192.168.2.2:52510,4794,2889,74775053,192062,79816832110719,79833437317711
TCP,192.168.2.1:5201,192.168.2.2:52474,5085,3344,80035383,222392,79816769985280,79833503191732
TCP,192.168.2.1:5201,192.168.2.2:52498,5033,3074,73143251,204420,79816777889168,79833505776741
TCP,192.168.2.1:5201,192.168.2.2:52512,4720,2830,69297801,188420,79816835824148,79833537731180
TCP,192.168.2.1:5201,192.168.2.2:52460,5296,3638,95717657,241320,79816766542884,79833557725638
TCP,192.168.2.1:5201,192.168.2.2:52484,5070,3123,70429065,207638,79816824693817,79833463852517
TCP,192.168.2.1:5201,192.168.2.2:52506,5083,2930,70625039,194708,79816828452578,79833469162816
TCP,192.168.2.1:5201,192.168.2.2:52502,4955,2965,68924215,197254,79816824693817,79833491558428
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52506,8449,5108,128172903,339364,79816828452578,79843445827286
TCP,192.168.2.1:5201,192.168.2.2:52502,8377,5089,120399655,338270,79816824693817,79843469462168
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,8781,5972,150215155,396108,79816766542884,79843503418389
TCP,192.168.2.1:5201,192.168.2.2:52484,8544,5312,122166981,353208,79816824693817,79843445028281
TCP,192.168.2.1:5201,192.168.2.2:52474,8574,5636,129294417,374780,79816769985280,79843475209898
TCP,192.168.2.1:5201,192.168.2.2:52498,8480,5293,134516077,351566,79816777889168,79843467375619
TCP,192.168.2.1:5201,192.168.2.2:52512,8495,5529,142763139,366990,79816766542884,79843495884034
TCP,192.168.2.1:5201,192.168.2.2:52510,8173,4983,126552299,331238,79816832110719,79843445669524
TCP,192.168.2.1:5201,192.168.2.2:52502,9920,6057,148707269,402494,79816824693817,79848479250710
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,10412,7056,180733129,468156,79816766542884,79848520133158
TCP,192.168.2.1:5201,192.168.2.2:52484,10147,6257,147598223,415950,79816824693817,79848456519274
TCP,192.168.2.1:5201,192.168.2.2:52506,9993,6026,155128343,400500,79816828452578,79848462148821
TCP,192.168.2.1:5201,192.168.2.2:52498,10033,6197,161298455,411602,79816777889168,79848491445749
TCP,192.168.2.1:5201,192.168.2.2:52512,9964,6341,163948241,421238,79816766542884,79848509846019
TCP,192.168.2.1:5201,192.168.2.2:52510,9605,5768,146738839,383576,79816832110719,79848445045489
TCP,192.168.2.1:5201,192.168.2.2:52474,10191,6708,158870699,445952,79816769985280,79848484845590
TCP,192.168.2.1:5201,192.168.2.2:52484,11707,7331,178659443,487062,79816824693817,79853446699662
TCP,192.168.2.1:5201,192.168.2.2:52506,11453,6949,179706263,461874,79816828452578,79853453165511
TCP,192.168.2.1:5201,192.168.2.2:52502,11378,6941,172411689,461350,79816824693817,79853468228235
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,12035,8090,208222323,536724,79816766542884,79853497920086
TCP,192.168.2.1:5201,192.168.2.2:52510,11043,6634,171186439,440972,79816832110719,79853439509023
TCP,192.168.2.1:5201,192.168.2.2:52474,11434,7040,175378913,467784,79816824693817,79853474356580
TCP,192.168.2.1:5201,192.168.2.2:52498,11529,7118,186470371,472784,79816777889168,79853481514402
TCP,192.168.2.1:5201,192.168.2.2:52512,11378,7194,186224105,477968,79816766542884,79853497096358
TCP,192.168.2.1:5201,192.168.2.2:52512,12873,8161,212913179,542090,79816766542884,79858580663687
TCP,192.168.2.1:5201,192.168.2.2:52510,12609,7687,199205971,510806,79816832110719,79858469006727
TCP,192.168.2.1:5201,192.168.2.2:52474,13036,8121,201523813,539598,79816824693817,79858558316002
TCP,192.168.2.1:5201,192.168.2.2:52498,13085,8128,209700775,539768,79816777889168,79858563249943
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,13648,9246,235583849,613472,79816766542884,79858593822659
TCP,192.168.2.1:5201,192.168.2.2:52484,13265,8362,204953795,555384,79816824693817,79858478872983
TCP,192.168.2.1:5201,192.168.2.2:52506,13027,8015,207054163,532482,79816828452578,79858501689999
TCP,192.168.2.1:5201,192.168.2.2:52502,12904,7955,197163781,528778,79816824693817,79858536880201
TCP,192.168.2.1:5201,192.168.2.2:52460,17703,12054,303489823,799648,79816766542884,79868565566993
TCP,192.168.2.1:5201,192.168.2.2:52484,17147,10852,267049659,721004,79816824693817,79868486644612
TCP,192.168.2.1:5201,192.168.2.2:52506,16761,10316,267715103,685140,79816828452578,79868493298026
TCP,192.168.2.1:5201,192.168.2.2:52502,16610,10305,252994961,684870,79816824693817,79868510334701
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52510,16276,9993,259147453,663794,79816832110719,79868423567447
TCP,192.168.2.1:5201,192.168.2.2:52474,16928,10690,256778805,710412,79816824693817,79868520041389
TCP,192.168.2.1:5201,192.168.2.2:52498,16833,10460,260518803,694952,79816777889168,79868523066649
TCP,192.168.2.1:5201,192.168.2.2:52512,16391,10294,265717207,684032,79816766542884,79868521046347
TCP,192.168.2.1:5201,192.168.2.2:52484,18555,11658,288110527,774688,79816824693817,79873449632617
TCP,192.168.2.1:5201,192.168.2.2:52506,18126,11112,292593173,738048,79816828452578,79873453901342
TCP,192.168.2.1:5201,192.168.2.2:52502,17964,11107,274551029,738126,79816824693817,79873473165188
TCP,192.168.2.1:5201,192.168.2.2:52454,9,8,758,540,79816693030177,79816842480566
TCP,192.168.2.1:5201,192.168.2.2:52460,19177,12998,331564291,862216,79816766542884,79873517325517
TCP,192.168.2.1:5201,192.168.2.2:52510,17597,10704,276453891,711248,79816832110719,79873442969381
TCP,192.168.2.1:5201,192.168.2.2:52474,18353,11553,277435335,767850,79816824693817,79873478927148
TCP,192.168.2.1:5201,192.168.2.2:52498,18240,11268,281920225,748604,79816777889168,79873486559498
TCP,192.168.2.1:5201,192.168.2.2:52512,17629,10983,284971211,729746,79816766542884,79873501361808
TCP,192.168.2.1:5201,192.168.2.2:52454,18,14,2460,2028,79816693030177,79877029261782
TCP,192.168.2.1:5201,192.168.2.2:52454,18,14,2460,2028,79816693030177,79877029261782
